Designator,Mid X,Mid Y,Rotation,Layer
C20,59.45,-101.8,0.0,bottom
D1,40.119525,-96.974491,0.0,top
D10,154.826625,-96.974491,0.0,top
D11,167.571859,-96.974491,0.0,top
D12,180.317092,-96.974491,0.0,top
D13,193.062325,-96.974491,0.0,top
D14,205.807559,-96.974491,0.0,top
D15,218.552792,-96.974491,0.0,top
D16,231.298025,-96.974491,0.0,top
D17,244.043259,-96.974491,0.0,top
D2,52.864759,-96.974491,0.0,top
D3,65.609992,-96.974491,0.0,top
D4,78.355225,-96.974491,0.0,top
D5,91.100459,-96.974491,0.0,top
D6,103.845692,-96.974491,0.0,top
D7,116.590925,-96.974491,0.0,top
D8,129.336159,-96.974491,0.0,top
D9,142.081392,-96.974491,0.0,top
J1,44.46,-103.45,270.0,bottom
R21,31.45,-103.35,0.0,bottom
